_id|_labels|CENTROID|CFS_AREA|DESCRIPTION|FULL_GEOID|INTPTLAT|INTPTLON|MA|NAME|STATE|STUSPS|_start|_end|_type
20|:MetroArea|{"crs":"wgs-84","latitude":35.86017477865131,"longitude":-78.75879575798764,"height":null}|37-450|Raleigh-Durham-Chapel Hill, NC CFS Area; North Carolina|E330000US3745000000|+35.7049939|-079.2514542|450|North Carolina|37|NC|||
21|:MetroArea|{"crs":"wgs-84","latitude":32.80456591304329,"longitude":-86.79257359850203,"height":null}|01-99999|Remainder of Alabama, Alabama|E330000US0199999999|+33.2703999|-085.8635254|99999|Alabama|01|AL|||
22|:MetroArea|{"crs":"wgs-84","latitude":41.25611076245373,"longitude":-73.5534899561201,"height":null}|36-408|New York-Newark, NY-NJ-CT-PA CFS Area (NY Part); New York|E330000US3640800000|+41.9472124|-074.2654582|408|New York|36|NY|||
23|:MetroArea|{"crs":"wgs-84","latitude":38.54066407051089,"longitude":-90.77636430160548,"height":null}|29-476|St. Louis-St. Charles-Farmington, MO-IL CFS Area (MO Part); Missouri|E330000US2947600000|+38.4083125|-091.0734098|476|Missouri|29|MO|||
24|:MetroArea|{"crs":"wgs-84","latitude":30.03578585083834,"longitude":-93.17731733972106,"height":null}|22-324|Lake Charles-Jennings, LA CFS Area; Louisiana|E330000US2232400000|+30.2295588|-093.3580154|324|Louisiana|22|LA|||
25|:MetroArea|{"crs":"wgs-84","latitude":44.79611424296625,"longitude":-89.90038458339228,"height":null}|55-99999|Remainder of Wisconsin, Wisconsin|E330000US5599999999|+43.4279976|-089.9433290|99999|Wisconsin|55|WI|||
26|:MetroArea|{"crs":"wgs-84","latitude":41.718127720760265,"longitude":-72.57266322679392,"height":null}|09-25540|Hartford-West Hartford-East Hartford, CT  CFS Area|E330000US0927825540|+41.4330028|-072.5227802|25540|Connecticut|09|CT|||
27|:MetroArea|{"crs":"wgs-84","latitude":36.987433248655485,"longitude":-76.41385797354116,"height":null}|51-545|Virginia Beach-Norfolk, VA-NC CFS Area (VA Part); Virginia|E330000US5154500000|+37.1283599|-076.3035337|545|Virginia|51|VA|||
28|:MetroArea|{"crs":"wgs-84","latitude":33.73601072682931,"longitude":-84.3083014500991,"height":null}|13-122|Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area; Georgia|E330000US1312200000|+33.0744605|-084.1467208|122|Georgia|13|GA|||
29|:MetroArea|{"crs":"wgs-84","latitude":42.07464832675412,"longitude":-93.50009011606801,"height":null}|19-99999|Remainder of Iowa, Iowa|E330000US1999999999|+40.7363787|-093.7845799|99999|Iowa|19|IA|||
30|:MetroArea|{"crs":"wgs-84","latitude":41.39315556292993,"longitude":-81.54983452564173,"height":null}|39-184|Cleveland-Akron-Canton, OH CFS Area; Ohio|E330000US3918400000|+41.9241163|-081.3926429|184|Ohio|39|OH|||
